,Tipo de accidente,Descripción del accidente
211,Colisión de vehículos,Accidente en arcén derecho
212,Colisión de vehículos,Colisión de 2 vehículos en carriles izquierdo y central
213,Colisión de vehículos,Colisión de 3 vehículos en carril derecho. Vertido de aceite. Se activa la baldeadora
214,Colisión de vehículos,Señalizar vehículo averiado de  accidente en arcen derecho. A mi llegada solo hay un vehículo
215,Colisión de vehículos,Colisión de 3 vehículos en carril izquierdo. Policía lo traslada a carril derecho
216,Colisión de vehículos,"Señalizar accidente en los 3 carriles izquierdos, 2 heridos leves dados de alta en el lugar. Se van abriendo carriles progresivamente. Se efectúa limpieza"
217,Colisión de vehículos,Escolto y señalizo vehículos averiados por accidente
218,Colisión de vehículos,Accidente por alcance sin heridos en carril izquierdo
219,Colisión de vehículos,Retirar vehículos de carril izquierdo y señalizarlos en arcén derecho
220,Salida de vía,Señalizar accidente en carril BUS. Herido trasladado a Hospital
221,Colisión de vehículos,"Colisión de 3 vehículos en carril derecho. Al llegar al punto los vehículos están reanudando la marcha, no hay datos"
222,Colisión de vehículos,A mi llegada Policía pasa los coches al arcén derecho
223,Colisión de vehículos,Colisión de 3 vehículos en carril derecho
224,Colisión de vehículos,Accidente en carril central. Retiramos vehículos al arcén derecho
225,Colisión de vehículos,Señalizar vehículos accidentados en carril izquierdo
226,Colisión de vehículos,Accidente en carril derecho. Herido leve trasladado al Hospital Ramón y Cajal
227,Colisión de vehículos,Colisión de 3 vehículos en carril izquierdo.  
228,Colisión de vehículos,Accidente en carril derecho. Sacamos vehiculos fuera de zona
229,Colisión de vehículos,"Encuentro accidente en carril izquierdo, señalizo con Policía"
230,Colisión de vehículos,Colisión de 3 vehículos en carril izquierdo
231,Salida de vía,"Salida de vía en lado derecho, con daños en lado derecho. Herido leve dado de alta en el punto. Corto carril izquierdo"
232,Colisión de vehículos,Colisión lateral vehículo y moto con heridos y sin daños. Se corta carril derecho hasta que SAMUR atiende y traslada al Hospital Gregorio Marañon. Herido es estado leve. Vehículo 1 con grúa propia y el vehículo 2 por sus medios
233,Salida de vía,"Salida de vía, sin heridos ni daños en carril derecho. Se corta carril derecho hasta retirada de vehículo en grúa de movilidad al dar positivo en alcoholemia. Dejo señalizado y me voy al 22RE."
234,Salida de vía,"Salida de vía sin heridos. A nuestra llegada el vehículo se encuentra en lado derecho del ramal con Policía. Sacamos vehículo fuera de límite, aparcando en parada de BUS a la espera de grúa y dejarlo señalizado"
235,Salida de vía,Señalizar accidente por salida de via con daños a patrimonio y un herido leve dado de alta en el lugar. Cortado carril izquierdo. 
236,Colisión obstáculos,"VEHICULO PARADO EN ISLETA CENTRAL. UNA SEÑAL DE EXCESO DE GALIBO SE ENCUENTRA DEBAJO DEL VEHICULO, SEGUN CENTRO C.C EL VEHICULO HA IMPACTADO CON LA SEÑAL. RETIRAMOS LA SEÑAL Y SE RETIRA POR SUS MEDIO"
237,Colisión de vehículos,"Alcance entre vehículos, posible agresión segun VH-1 que retiramos con grúa al exterior"
238,Salida de vía,Vehículo parado en carril izquierdo a causa de impactar con bordillo de hastila izquierdo. Los ocupantes no sufren daños personales.
239,Colisión de vehículos,Aviso del centro de control de accidente por alcance en carril izquierdo. Junto Policía movemos vehículos a arcén derecho
240,Salida de vía,Señalizar accidente caída de moto sin daños a patrimonio y un herido trasladado al Hospital La Paz como leve. La moto la retira familiar del conductor
241,Colisión de vehículos,"Señalizar accidente por alcance en carril izquierdo y Policía lo retira al arcén derecho del PK 32, sin daños a patrimonio y heridos. El herido es trasladado al Hospital FREMAP de capitan Haya como herido leve"
242,Colisión de vehículos,Accidente por alcance entre 5 vehículos en carril central. 2 heridos trasladados con pronóstico reservado
243,Otros,Usuario manifiesta coche desconocido hace un extraño y por este motivo cae al suelo. Señalizo en isleta
244,Colisión de vehículos,"Accidente de motorista en carril izquierdo, el vehícuo contrario no está en el punto, no hay heridos, ni daños al patrimonio."
245,Colisión de vehículos,"Corto carril derecho por accidente, herido leve trasladado."
247,Colisión de vehículos,Aviso del centro de control de accidente por alcance entre 3 vehículos ocupando el carril derecho. 2 heridos leves trasladados al Hospital. Dos de los vehículos implicados son retirados por las grúas de movilidad y el tercero por sus medios.
248,Colisión de vehículos,Accidente entre 4 vehículos por alcance ocupando el carril derecho hasta que son trasladados al arcén del PK. 32+200.
249,Colisión de vehículos,Accidente entre 3 vehículos por alcance ocupando el carril derecho. Sin heridos ni daños al patrimonio.
250,Salida de vía,"Salida de via de vehículo, parte el eje de la rueda derecha delantera, lo cargamos con C-10 y lo sacamos al exterior"
251,Colisión de vehículos,"Señalizar accidente lateral con moto implicada, con herido en pronóstico reservado y es trasladado al 12 de o9cturbre, din daños al patrimonio."
252,Colisión de vehículos,"Accidente por alcance entre 3 vehículos, policía los pasa a 06NL62. sin daños ni heridos."
253,Colisión de vehículos,"Señalizar accidente por alcance en carril derecho, sin daños a patrimonio, ni heridos, los vehiculos se retiran por sus medios."
254,Salida de vía,"Señalizar accidente salida de vía con daños a patrimonio y sin herios, en isleta."
255,Colisión de vehículos,"Aviso de Centro de control de colisión por alcance de 1 vehículo con 1 acamión, a mi llegada están en arcén derecho cortando parte de carril derecho, hasta retirada de estos por sus medios."
256,Colisión de vehículos,Accidente entre 2 vehículos por alcance en carriles centrales. Policía Municipal traslada al arcén derecho a ambos vehículos implicados. 1 herido leve trasladado por el Samur al Hospital Gregorio Marañon.
257,Salida de vía,"Aviso desde el Centro de Control de un accidente de 1 vehículo por salida de vía, cuando llega el vigilante el vehículo accidentado ya se había retirado, los operarios con el furgón F-60 se encontraban en el punto y tomaron los datos de dicho vehículo."
258,Colisión de vehículos,Colisión por alcance entre 2 vehículos ocupando el carril derecho hasta que Policía Municipal los traslada al arcén derecho del 09XL60. 
259,Salida de vía,Accidente de 1 vehículo por salida de vía hacia el margen derecho. Sin heridos ni daños al patrimonio. Se corta el carril derecho sentido salida de la M-23 por seguridad.
260,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, se encuentran ocupando el arcén derecho. Sin heridos ni daños al patrimonio."
261,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, se encuentran ocupando el carril derecho. Sin heridos ni daños al patrimonio."
262,Colisión de vehículos,"Aviso desde el Centro de Control de un accidente en el PK 31+600 carril izquierdo, cuando llega el vigilante Policía Municipal ya había trasladado los vehículos implicados al arcén derecho del ramal 31RJ."
263,Vuelco,Accidente de 1 vehículo por vuelco en el ramal 22RE. 1 herido leve trasladado por el Samur al hospital.
264,Salida de vía,"Accidente de 1 vehículo por salida de vía , colisiona contra la bañera e hitos, sin heridos y se retira del punto por sus medios."
265,Salida de vía,"Accidente de 1 vehículo por salida de vía , colisiona contra barreras, cuando llega el vigilante el vehículo implicado ya se había retirado. Policía Municipal facilita los datos."
266,Salida de vía,"SALIDA DE VIA, SIN HERIDOS. SE CORTA CARRIL DERECHO. SIN DERRAMES. SE SOLICITA PLATAFORMA C10. ARAÑAZOS EN BORDILLO"
267,Colisión de vehículos,"ALCANCE DE DOS VEHICULOS, CORTAMOS CARRIL DERECHO Y CARGAMOS UNO DE LOS DOS VEHICULOS IMPLICADOS Y LO RETIRAMOS AL EXTERIOR, EL OTRO SALE POR SUS MEDIOS"
268,Colisión de vehículos,"Aviso desde el Centro de Control de un accidente, cuando llega el vigilante hay 2 vehículos implicados en el carril derecho, este permanece cortado hasta la retirada de dichos vehículos."
269,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril central, la Policía Municipal los traslada al arcén derecho. Sin heridos ni daños al patrimonio."
270,Otros,"Accidente de un motorista por caída, ocupa el arcén derecho hasta su retirada en su grúa. Sin heridos ni daños al patrimonio."
271,Colisión de vehículos,Señalizar a 2 vehículos parados en el arcén derecho debido a un accidente entre ellos por alcance.
272,Colisión de vehículos,"Alcance entre 2 vehículos, se corta carril, se pasan los vehículos a carril derecho y salen por sus medios"
273,Salida de vía,"Señalizar los daños ocasionados por el accidente de un vehículo al salirse de la vía, este se retira del punto en su grúa."
274,Colisión de vehículos,Accidente entre 4 vehículos por alcance que se encuentran ocupando el carril derecho. 4 heridos leves dados de alta en el punto.
275,Colisión de vehículos,Accidente entre 4 vehículos por alcance. Sin heridos ni daños al patrimonio.
276,Colisión de vehículos,Señalizar a 5 vehículos parados en el carril izquierdo debido a un alcance entre ellos. Un motorista implicado resulta herido y trasladado por el Samur al hospital.
277,Salida de vía,Accidente de 1 vehículo por salida de vía que colisiona contra las barreras y golpea a otro vehículo que circulaba en el mismo sentido. Fotos en la cámara del capataz.
278,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril derecho. 1 herido leve dado de alta en el punto por el Samur.
279,Colisión de vehículos,Señalizar vehículo accidentado ocupando el carril derecho. Sin heridos ni daños al patrimonio.
280,Colisión de vehículos,Accidente entre 3 vehículos por alcance que se encuentran ocupando el carril derecho.
281,Salida de vía,Señalizar vehículo accidentado y los daños causados por este. Se cortan 2 carriles derechos que se abren progresivamente.
282,Colisión de vehículos,Accidente entre 3 vehículos por alcance que se encuentran ocupando el arcén derecho.
283,Colisión de vehículos,Señalizar a 2 vehículos parados en el anchuron del lado derecho debido a un alcance entre ellos.
284,Vuelco,Señalizar vehículo accidentado en el margen izquierdo. 1 herido leve trasladado por el Samur al hospital.
285,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril derecho.
286,Salida de vía,"Salida de vía en lado izquierdo, con daños al patrimonio, corto carril izquierdo."
287,Colisión de vehículos,Corto carril izquierdo por accidente.
288,Colisión de vehículos,"Corto carril derecho por accidente, herido leve dado de alta en el lugar."
289,Colisión de vehículos,"Aviso del Centro de Control de accidente, se corta carril izquierdo, los 3 heridos en el punto dados de alta, limpio mancha de aceite, vehículo 2"
290,Salida de vía,"Señalizar accidente vehículo se da contra muro de hormigón, se corta carril derecho, traslado del heridoal Gregorio Marañón, policía no sabe el número de poliza, ni seguro."
291,Otros,"Daños en malla y señal de ceda es paso y flecha tirada, hay un paragolpe con matrícula."
292,Colisión de vehículos,"Encuentro coche en carril central con policía lo pasamos al carril derecho, señalizo."
293,Salida de vía,Vehículo se sale de vía.
294,Salida de vía,"Encuentro coche dando a la barrera con policía, lo ponemos en isleta, señalizo."
295,Salida de vía,"Vehículo se sale de vía. Colisionando contra muro, golpeando al otro vehículo que también colisiona contra muro."
296,Salida de vía,SALIDA DE VIA GOLPEANDO AL BORDILLO IZQUEIRDO. SACAMOS AL VEHICULO A LA C/ ALEJANDRO DUMAS
